id,Created,Last Edited,Last Edited By,Question (deprecated),Question (summary),Question (description - optional),Contributors,Context layer,Question Type (deprecated),Question Type,Resource Type(s),Nested Questions,Nested Question ids,Parent Question,Parent Question id,Notes
1623276180000What are the responsibilities for maintaining data security?,"June 9, 2021 3:03 PM","June 11, 2021 1:25 AM",Shreyasha Paudel,What are the responsibilities for maintaining data security?,What are the responsibilities for the role associated with  maintaining data security?,A brief descriptions of all the tasks that are required for maintaining data security.,"Riya Swayampati, Shreyasha Paudel",Governance > Decision-Makers > Org Roles,,Short Description (List),,,,%F0%9F%97%82%20V1%20Foundational%20Schema%20(Source%20of%20Truth)%20913368daa73f4a2aab9b46b6587675cd/Is%20there%20an%20organizational%20role%20for%20maintaining%20da%20b5b202d535e542b49ec0779a91b81b60.md,"1621266060000Is there an organizational role for maintaining data security? ",
"1621266360000Is there an organizational role for creating and documenting consent forms? ","May 17, 2021 8:46 AM","June 11, 2021 1:24 AM",Shreyasha Paudel,"Is there an organizational role for creating and documenting consent forms? ","Is there an organizational role for creating and documenting consent forms? ",This is a yes/no question to determine if there is a defined role for creating and documenting consent forms. This could be an organization wide role or a team specific role.,Shreyasha Paudel,Governance > Decision-Makers > Org Roles,Yes/No — short,Yes/No,,"%F0%9F%97%82%20V1%20Foundational%20Schema%20(Source%20of%20Truth)%20913368daa73f4a2aab9b46b6587675cd/Who%20creates%20and%20documents%20consent%20forms%20c6d3112340364f8d95128cd0a5f1529f.md, %F0%9F%97%82%20V1%20Foundational%20Schema%20(Source%20of%20Truth)%20913368daa73f4a2aab9b46b6587675cd/Please%20describe%20the%20responsibilities%20associated%20wi%20e6f7dea4eb1746aa80de3fa48144869a.md","1621265880000Who creates and documents consent forms?,1623276180000Please describe the responsibilities associated with this role.",,,
1623276180000Please describe the responsibilities associated with this role.,"June 9, 2021 3:03 PM","June 11, 2021 1:25 AM",Shreyasha Paudel,Please describe the responsibilities associated with this role.,What are the responsibilities for the role associated with creating and documenting consent forms?,A brief description of all the tasks that are required for creating and documenting consent forms including any review processes that might exist.,"Riya Swayampati, Shreyasha Paudel",Governance > Decision-Makers > Org Roles,,Short Description (List),,,,%F0%9F%97%82%20V1%20Foundational%20Schema%20(Source%20of%20Truth)%20913368daa73f4a2aab9b46b6587675cd/Is%20there%20an%20organizational%20role%20for%20creating%20and%20d%206f8191b71f5b4a55b2838afe723ae388.md,"1621266360000Is there an organizational role for creating and documenting consent forms? ",
1621263240000Was this data project reviewed by an Institutional Review Board ?,"May 17, 2021 7:54 AM","June 11, 2021 1:27 AM",Shreyasha Paudel,Was this data project reviewed by an Institutional Review Board ?,Was this data project reviewed by an Institutional Review Board ?,A yes/no question to identify whether the project was reviewed by and IRB Board.,Shreyasha Paudel,Governane > Data Compliance > IRB,Yes/No,Yes/No,,"%F0%9F%97%82%20V1%20Foundational%20Schema%20(Source%20of%20Truth)%20913368daa73f4a2aab9b46b6587675cd/Please%20list%20materials%20submitted%20for%20IRB%20review%2037ca007b93e741e3a74746b212bd7684.md, %F0%9F%97%82%20V1%20Foundational%20Schema%20(Source%20of%20Truth)%20913368daa73f4a2aab9b46b6587675cd/Did%20IRB%20require%20modifications%20to%20the%20initial%20propo%200feeb5f8d82d454abb940340f4a99fdd.md, %F0%9F%97%82%20V1%20Foundational%20Schema%20(Source%20of%20Truth)%20913368daa73f4a2aab9b46b6587675cd/Who%20has%20access%20to%20the%20IRB%20records%202d589720c3aa4e4b814678ff5239b079.md, %F0%9F%97%82%20V1%20Foundational%20Schema%20(Source%20of%20Truth)%20913368daa73f4a2aab9b46b6587675cd/Why%20did%20this%20project%20go%20through%20IRB%20process%20or%20not%20fc486ffd01864c76b36936217f414cd8.md","1621263480000Please list materials submitted for IRB review.,1621263600000Did IRB require modifications to the initial proposal? Please describe the modification.,1621264500000Who has access to the IRB records?,1623400020000Why did this project go through IRB process or not go through IRB process? ",,,
1621263480000Please list materials submitted for IRB review.,"May 17, 2021 7:58 AM","June 11, 2021 1:27 AM",Shreyasha Paudel,Please list materials submitted for IRB review.,"What materials were submitted for IRB review? ","A list and brief description of all the materials that were submitted for the IRB review. If documentation is shareable, they can be linked as a resource here. ",Shreyasha Paudel,Governane > Data Compliance > IRB,Long Answer,Resource (List),,,,%F0%9F%97%82%20V1%20Foundational%20Schema%20(Source%20of%20Truth)%20913368daa73f4a2aab9b46b6587675cd/Was%20this%20data%20project%20reviewed%20by%20an%20Institutional%201688680b28854c47bb6a1b086e88b8c6.md,1621263240000Was this data project reviewed by an Institutional Review Board ?,
1621263600000Did IRB require modifications to the initial proposal? Please describe the modification.,"May 17, 2021 8:00 AM","June 11, 2021 1:27 AM",Shreyasha Paudel,Did IRB require modifications to the initial proposal? Please describe the modification.,Describe any modifications required by the iRB to the initial proposal,"A list and a brief descritption of any modifications to the initial proposal that resulted from the IRB process. If there were no modifications, please state so. ",Shreyasha Paudel,Governane > Data Compliance > IRB,Long Answer,Long Description,,,,%F0%9F%97%82%20V1%20Foundational%20Schema%20(Source%20of%20Truth)%20913368daa73f4a2aab9b46b6587675cd/Was%20this%20data%20project%20reviewed%20by%20an%20Institutional%201688680b28854c47bb6a1b086e88b8c6.md,1621263240000Was this data project reviewed by an Institutional Review Board ?,
1621264500000Who has access to the IRB records?,"May 17, 2021 8:15 AM","June 9, 2021 8:25 PM",Riya Swayampati,Who has access to the IRB records?,Who has access to the IRB records?,"A list of people who can access IRB records. Ideally, the list should contain name and organizational roles.",Shreyasha Paudel,Governane > Data Compliance > IRB,Short Answer,Person (List),,,,%F0%9F%97%82%20V1%20Foundational%20Schema%20(Source%20of%20Truth)%20913368daa73f4a2aab9b46b6587675cd/Was%20this%20data%20project%20reviewed%20by%20an%20Institutional%201688680b28854c47bb6a1b086e88b8c6.md,1621263240000Was this data project reviewed by an Institutional Review Board ?,
1621264560000Does this project have a legal requirement to be reviewed by and IRB?,"May 17, 2021 8:16 AM","June 9, 2021 3:10 PM",Riya Swayampati,Does this project have a legal requirement to be reviewed by and IRB?,Does this project have a legal requirement to be reviewed by and IRB?,This is a yes/no question asking for legal requirements to deal with IRB,Shreyasha Paudel,Governane > Data Compliance > IRB,Yes/No,Yes/No,,,,,,
1621265580000What are the policies to deal with data that might not be trustworthy?,"May 17, 2021 8:33 AM","June 9, 2021 8:25 PM",Riya Swayampati,What are the policies to deal with data that might not be trustworthy?,What are the policies to deal with data that might not be trustworthy?,A list and brief description of policies that are in place to deal with data that is identified as untrustworthy. It can list existing policy as a resource or describe in text. Please mention if there are no such documented policies.,Shreyasha Paudel,Governance> Data Compliance > Data Disclosure,Short Answer,Short Description (List),,,,,,Principle for governance - Trustworthiness
1620419640000What are the items included in audit trail ?,"May 7, 2021 1:34 PM","June 9, 2021 8:25 PM",Riya Swayampati,What are the items included in audit trail ?,What are the items included in audit trail ?,A list and a brief description of all the components of the dataset that is included in an audit trail.,"Shreyasha Paudel, Riya Swayampati",Governance > Data Compliance > Audit Trail,Short Answer,Short Description (List),,,,%F0%9F%97%82%20V1%20Foundational%20Schema%20(Source%20of%20Truth)%20913368daa73f4a2aab9b46b6587675cd/Does%20the%20dataset%20have%20an%20audit%20trail%20or%20record%20of%20%200387f1ffe080414ea2af872f9456c5fa.md,1620419580000Does the dataset have an audit trail or record of other digital activities?,
1620419640000Please describe the logical and procedural controls for enabling the audit trail for the dataset.,"May 7, 2021 1:34 PM","June 9, 2021 8:25 PM",Riya Swayampati,Please describe the logical and procedural controls for enabling the audit trail for the dataset.,What controls are used to enable the audit trail for the dataset?,A list and description of all the logical and procedural controls needed for the audit trail,"Shreyasha Paudel, Riya Swayampati",Governance > Data Compliance > Audit Trail,Long Answer,Short Description (List),,,,%F0%9F%97%82%20V1%20Foundational%20Schema%20(Source%20of%20Truth)%20913368daa73f4a2aab9b46b6587675cd/Does%20the%20dataset%20have%20an%20audit%20trail%20or%20record%20of%20%200387f1ffe080414ea2af872f9456c5fa.md,1620419580000Does the dataset have an audit trail or record of other digital activities?,
1620419760000Please describe the policies available for reviewing the audit trail for the dataset.,"May 7, 2021 1:36 PM","June 9, 2021 8:25 PM",Riya Swayampati,Please describe the policies available for reviewing the audit trail for the dataset.,What are the policies available for reviewing the audit trail for the dataset?,A brief description of the policies in place for reviewing the audit trail,"Shreyasha Paudel, Riya Swayampati",Governance > Data Compliance > Audit Trail,Long Answer,Short Description (List),,,,%F0%9F%97%82%20V1%20Foundational%20Schema%20(Source%20of%20Truth)%20913368daa73f4a2aab9b46b6587675cd/Does%20the%20dataset%20have%20an%20audit%20trail%20or%20record%20of%20%200387f1ffe080414ea2af872f9456c5fa.md,1620419580000Does the dataset have an audit trail or record of other digital activities?,
1620419820000What is the retention policy for the audit trail for the dataset?,"May 7, 2021 1:37 PM","June 9, 2021 8:25 PM",Riya Swayampati,What is the retention policy for the audit trail for the dataset?,What is the retention policy for the audit trail for the dataset?,A description of the retention policy regarding the audit trail for the dataset,"Shreyasha Paudel, Riya Swayampati",Governance > Data Compliance > Audit Trail,Long Answer,Long Description,,,,%F0%9F%97%82%20V1%20Foundational%20Schema%20(Source%20of%20Truth)%20913368daa73f4a2aab9b46b6587675cd/Does%20the%20dataset%20have%20an%20audit%20trail%20or%20record%20of%20%200387f1ffe080414ea2af872f9456c5fa.md,1620419580000Does the dataset have an audit trail or record of other digital activities?,
1621266240000Is this dataset legally required to have audit trails?,"May 17, 2021 8:44 AM","June 9, 2021 8:23 PM",Riya Swayampati,Is this dataset legally required to have audit trails?,Is this dataset legally required to have audit trails?,"A yes/no question asking whether the dataset is required to have audit trails ","Shreyasha Paudel, Riya Swayampati",Governance > Data Compliance > Audit Trail,Yes/No,Yes/No,,,,%F0%9F%97%82%20V1%20Foundational%20Schema%20(Source%20of%20Truth)%20913368daa73f4a2aab9b46b6587675cd/Does%20the%20dataset%20have%20an%20audit%20trail%20or%20record%20of%20%200387f1ffe080414ea2af872f9456c5fa.md,1620419580000Does the dataset have an audit trail or record of other digital activities?,
1620419940000Are there data disclosure documents for sharing and dissemination of this dataset?,"May 7, 2021 1:39 PM","June 9, 2021 8:23 PM",Riya Swayampati,Are there data disclosure documents for sharing and dissemination of this dataset?,Are there data disclosure documents for sharing and dissemination of this dataset?,A list of data disclosure documents related to the dataset and a brief description or link to the document for each one,"Shreyasha Paudel, Riya Swayampati",Governance > Data Disclosure,Yes/No — long,Resource (List),,%F0%9F%97%82%20V1%20Foundational%20Schema%20(Source%20of%20Truth)%20913368daa73f4a2aab9b46b6587675cd/Who%20has%20access%20to%20the%20data%20disclosure%20documents%20fo%206549e55237f04c64b2731f06ceb2572d.md,1623262380000Who has access to the data disclosure documents for sharing and dissemination of this dataset?,,,
"1620420720000Who can access this dataset? ","May 7, 2021 1:52 PM","June 9, 2021 8:23 PM",Riya Swayampati,"Who can access this dataset? ","Who can access this dataset? ",A list of people or entities who can access the dataset,"Shreyasha Paudel, Riya Swayampati",Governance > Access,Short Answer,Person (List),,,,,,
1620421800000Can the public access the dataset online or download the dataset?,"May 7, 2021 2:10 PM","June 9, 2021 3:11 PM",Riya Swayampati,Can the public access the dataset online or download the dataset?,Can the public access the dataset online or download the dataset?,"This asks whether the general public can access/ download the dataset. There might be some specific limitations (for example: only people within certain geographic region) to who can access this dataset in the community and that should be mentioned here. ","Shreyasha Paudel, Riya Swayampati",Governance > Access,Yes/No — short,Short Description,,%F0%9F%97%82%20V1%20Foundational%20Schema%20(Source%20of%20Truth)%20913368daa73f4a2aab9b46b6587675cd/Is%20it%20possible%20to%20track%20who%20accessed%20or%20downloaded%20463a480ed5fb42c1b15b623d8589af68.md,"1620421920000Is it possible to track who accessed or downloaded the dataset? ",,,
"1620421920000Is it possible to track who accessed or downloaded the dataset? ","May 7, 2021 2:12 PM","June 9, 2021 8:25 PM",Riya Swayampati,"Is it possible to track who accessed or downloaded the dataset? ","Is it possible to track who accessed or downloaded the dataset? ",A yes/no question about the traceability of the dataset- can we track who accessed or downloaded the data in the public?,"Shreyasha Paudel, Riya Swayampati",Governance > Access,Yes/No — short,Yes/No,,%F0%9F%97%82%20V1%20Foundational%20Schema%20(Source%20of%20Truth)%20913368daa73f4a2aab9b46b6587675cd/Please%20describe%20how%2034668520dac64779aef63cd639d58629.md,"1623276660000Please describe how. ",%F0%9F%97%82%20V1%20Foundational%20Schema%20(Source%20of%20Truth)%20913368daa73f4a2aab9b46b6587675cd/Can%20the%20public%20access%20the%20dataset%20online%20or%20downlo%20d5351983ddff48cf9c68fd356467397e.md,1620421800000Can the public access the dataset online or download the dataset?,
"1623276660000Please describe how. ","June 9, 2021 3:11 PM","June 9, 2021 8:21 PM",Riya Swayampati,"Please describe how. ",What is the process used to track who accessed or downloaded the dataset?,"A long description of the process of tracking access and downloads for the dataset ",Riya Swayampati,Governance > Access,,Long Description,,,,%F0%9F%97%82%20V1%20Foundational%20Schema%20(Source%20of%20Truth)%20913368daa73f4a2aab9b46b6587675cd/Is%20it%20possible%20to%20track%20who%20accessed%20or%20downloaded%20463a480ed5fb42c1b15b623d8589af68.md,"1620421920000Is it possible to track who accessed or downloaded the dataset? ",
1620421920000Please describe the process for giving access to the dataset to a new user.,"May 7, 2021 2:12 PM","June 9, 2021 8:19 PM",Riya Swayampati,Please describe the process for giving access to the dataset to a new user.,What is the process for giving access to a new user?,A detailed description of the process of giving access to a new user,"Shreyasha Paudel, Riya Swayampati",Governance > Access,Long Answer,Long Description,,,,,,
"1620422040000Please describe the policy or process, if any,  to determine if access to the dataset should be revoked.","May 7, 2021 2:14 PM","June 7, 2021 7:05 PM",Riya Swayampati,"Please describe the policy or process, if any,  to determine if access to the dataset should be revoked.","Is there a policy or process to determine if access should be revoked? What is it? ","This is a question asking if there is a policy or process regarding revoking access to data and then asking for a description ","Shreyasha Paudel, Riya Swayampati",Governance > Access,Long Answer,Long Description,,,,,,
"1621264800000Is the dataset and results shared with people outside the organization? If yes, please describe how.","May 17, 2021 8:20 AM","June 7, 2021 7:03 PM",Riya Swayampati,"Is the dataset and results shared with people outside the organization? If yes, please describe how.","Is the dataset and results shared with people outside the organization? How? ",This requires a description of process for sharing dataset and results outside of the organization (if applicable),"Shreyasha Paudel, Riya Swayampati",Governance > Access,Yes/No — short,Short Description,,,,,,
1621265280000Is there a policy to determine if the data needs to be updated? Please describe.,"May 17, 2021 8:28 AM","June 9, 2021 8:24 PM",Riya Swayampati,Is there a policy to determine if the data needs to be updated? Please describe.,What is the policy regarding data updates?,A brief description of the process or policy determining whether data needs to be updated. It should detail when this policy comes into effect and if there are any special cases when it doesn't (if applicable),"Shreyasha Paudel, Riya Swayampati",Governance > Data Use,Yes/No — short,Short Description,,,,,,
1623079860000Are there any documented restrictions/limitations on the usage of this dataset?,"June 7, 2021 8:31 AM","June 9, 2021 8:24 PM",Riya Swayampati,Are there any documented restrictions/limitations on the usage of this dataset?,What are the documented restrictions/limitations on the usage of this dataset?,A list of any documented restrictions/limitations on the usage of the dataset along with a brief description,"Shreyasha Paudel, Riya Swayampati",Governance > Data Use,Yes/No — long,Short Description (List),,,,,,
"1623400020000Why did this project go through IRB process or not go through IRB process? ","June 11, 2021 1:27 AM","June 11, 2021 1:33 AM",Shreyasha Paudel,"Why did this project go through IRB process or not go through IRB process? ","Why did this project go through IRB process or not go through IRB process? ","This is a follow-up question asking why the data project needed to go through IRB, or why it was determined that a review was not necessary. ",Shreyasha Paudel,Governane > Data Compliance > IRB,Short Answer,Short Description,,,,%F0%9F%97%82%20V1%20Foundational%20Schema%20(Source%20of%20Truth)%20913368daa73f4a2aab9b46b6587675cd/Was%20this%20data%20project%20reviewed%20by%20an%20Institutional%201688680b28854c47bb6a1b086e88b8c6.md,1621263240000Was this data project reviewed by an Institutional Review Board ?,
1623274800000,"June 9, 2021 2:40 PM","June 11, 2021 1:38 AM",Shreyasha Paudel,,What happens if a security breach is detected for this dataset?,Describe step-wise process that occurs when a security breach is detected for this dataset.,Shreyasha Paudel,Governance > Data Compliance > Security Protocols,Short Answer,Short Description (List),,,,,,
1623262380000Who has access to the data disclosure documents for sharing and dissemination of this dataset?,"June 9, 2021 11:13 AM","July 5, 2021 9:47 AM",Jaron Heard ✨,Who has access to the data disclosure documents for sharing and dissemination of this dataset?,Who has access to the data disclosure documents for sharing and dissemination of this dataset?,This is asking for a list of people or groups who may access the data disclosure documents that exist.,Shreyasha Paudel,Governance > Data Disclosure,,Person (List),,,,%F0%9F%97%82%20V1%20Foundational%20Schema%20(Source%20of%20Truth)%20913368daa73f4a2aab9b46b6587675cd/Are%20there%20data%20disclosure%20documents%20for%20sharing%20an%20226408b5964f4a01aba7a3be6fd6d8be.md,1620419940000Are there data disclosure documents for sharing and dissemination of this dataset?,
1623279360000How?,"June 9, 2021 3:56 PM","July 5, 2021 9:46 AM",Jaron Heard ✨,How?,How?,"A description of how humans have examined the dataset, analysis, or models - for example, through manual error analysis - in order to understand generalizations present in the data. Document any artifacts that may be present in the dataset.",Katy McKinney-Bock,,,Short Description,,,,%F0%9F%97%82%20V1%20Foundational%20Schema%20(Source%20of%20Truth)%20913368daa73f4a2aab9b46b6587675cd/Have%20humans%20examined%20any%20analysis%20or%20models%20(e%20g%20w%206fa38beeeddb43f2a4807fadf8935623.md,"1620225900000 Have humans examined any analysis or models (e.g. with error analysis) to understand what information and generalization was captured? ",
1623279300000What is the relationship between human subjects (or annotators) and models?,"June 9, 2021 3:55 PM","July 5, 2021 9:45 AM",Jaron Heard ✨,What is the relationship between human subjects (or annotators) and models?,What is the relationship between human subjects (or annotators) and models?,"A description of the relationship between human subjects, or annotators, and machine learning models throughout the Data Lifecycle, as applicable.",Katy McKinney-Bock,,,Short Description,,,,%F0%9F%97%82%20V1%20Foundational%20Schema%20(Source%20of%20Truth)%20913368daa73f4a2aab9b46b6587675cd/Did%20people%20collect%20and%20or%20annotate%20the%20data%20in%20ord%2010bcda9086994b2e8c01853ae124985e.md,"1620225900000Did people collect and/or annotate the data in order to implement machine learning? Describe the relationship between human subjects and machine learning models throughout the Data Lifecycle, as applicable (or if a similar human labor + automated relationship exists around data collection, preprocessing, validation, or analysis). ",
1623277440000Is there a diagram showing information flow between humans and automated systems?,"June 9, 2021 3:24 PM","July 5, 2021 10:22 AM",Jaron Heard ✨,Is there a diagram showing information flow between humans and automated systems?,Is there a diagram showing information flow between humans and automated systems?,"A diagram (such as a data lineage diagram) showing information flow, noting where humans and automated systems are present and interact.",Katy McKinney-Bock,,,Resource,Image,,,%F0%9F%97%82%20V1%20Foundational%20Schema%20(Source%20of%20Truth)%20913368daa73f4a2aab9b46b6587675cd/Include%20a%20diagram%20showing%20information%20flow%20between%20cf17b3f20d6f41339d2ca45002afc032.md,"1619049240000Include a diagram showing information flow between human and automated systems, or a description if a diagram is not readily available.",
1623277080000How?,"June 9, 2021 3:18 PM","July 5, 2021 9:44 AM",Jaron Heard ✨,How?,How?,"A description of how machine learning is used during any steps of the data lifecycle, including during analysis or downstream application.",Katy McKinney-Bock,Humans/Machines in the Loop > Automated Processes,,Short Description,,,,%F0%9F%97%82%20V1%20Foundational%20Schema%20(Source%20of%20Truth)%20913368daa73f4a2aab9b46b6587675cd/Is%20machine%20learning%20used%20during%20any%20steps%20of%20the%20d%20c66ef02b54e04a08a66cad6cac0c486e.md,1620139860000Is machine learning used during any steps of the data lifecycle (e.g. during analysis)?,
1623276840000How?,"June 9, 2021 3:14 PM","July 5, 2021 9:44 AM",Jaron Heard ✨,How?,How?,A description of how machine learning is used in downstream applications.,Katy McKinney-Bock,Humans/Machines in the Loop > Automated Processes,,Short Description,,,,%F0%9F%97%82%20V1%20Foundational%20Schema%20(Source%20of%20Truth)%20913368daa73f4a2aab9b46b6587675cd/Is%20machine%20learning%20used%20in%20any%20downstream%20applica%202a61f87c81534173b21e83a19966bc5f.md,1620139920000Is machine learning used in any downstream applications?,
1623276720000How?,"June 9, 2021 3:12 PM","July 5, 2021 9:44 AM",Jaron Heard ✨,How?,How?,"A description of how algorithms continue to learn or change during, in cases where data collection is continuous or ongoing.",Katy McKinney-Bock,Humans/Machines in the Loop > Automated Processes,,Short Description,,,,"%F0%9F%97%82%20V1%20Foundational%20Schema%20(Source%20of%20Truth)%20913368daa73f4a2aab9b46b6587675cd/If%20the%20dataset%20is%20continuously%20collected%20updated,%20%201a81a9e0c36e40119ef97a7a8fcede01.md","1620139920000If the dataset is continuously collected/updated, do any algorithms continue to learn or change during continuous data collection?",
1623329820000How is the dataset labeled or annotated?,"June 10, 2021 5:57 AM","June 10, 2021 6:00 AM",Katie Morrice,How is the dataset labeled or annotated?,How is the dataset labeled or annotated?,This describes if the dataset has any existing labels or annotations resulting from the data collection process.,Katie Morrice,Methodology Cycle > Data Collection,,Short Description,,,,%F0%9F%97%82%20V1%20Foundational%20Schema%20(Source%20of%20Truth)%20913368daa73f4a2aab9b46b6587675cd/Is%20the%20dataset%20labeled%20or%20annotated%20Describe%20d724779693b24633866a8c39456ad102.md,1620260580000Is the dataset labeled or annotated? Describe.,
"1623765240000What omissions were found, and what corrections were made?","June 15, 2021 6:54 AM","July 5, 2021 9:45 AM",Jaron Heard ✨,"What omissions were found, and what corrections were made?","What omissions were found, and what corrections were made?","A description of any omissions that were made in the dataset at any point in the data lifecycle, and whether the omission was corrected, including details of steps taken.",Katy McKinney-Bock,Data Preservation > Corrections,,Short Description (List),,,,"%F0%9F%97%82%20V1%20Foundational%20Schema%20(Source%20of%20Truth)%20913368daa73f4a2aab9b46b6587675cd/Document%20any%20errors,%20corrections,%20and%20omissions%20ma%20305215bad6b741c990b8644b8b20a00d.md","1620261540000Document any errors, corrections, and omissions made to the dataset at any stage of the data lifecycle.",
1623765420000Were there other corrections made to the dataset?,"June 15, 2021 6:57 AM","July 5, 2021 9:45 AM",Jaron Heard ✨,Were there other corrections made to the dataset?,Were there other corrections made to the dataset?,A description of steps taken to make any other corrections to the dataset during the data lifecycle.,Katy McKinney-Bock,Data Preservation > Corrections,,Short Description (List),,,,"%F0%9F%97%82%20V1%20Foundational%20Schema%20(Source%20of%20Truth)%20913368daa73f4a2aab9b46b6587675cd/Document%20any%20errors,%20corrections,%20and%20omissions%20ma%20305215bad6b741c990b8644b8b20a00d.md","1620261540000Document any errors, corrections, and omissions made to the dataset at any stage of the data lifecycle.",
"1623767160000What information is missing that would be needed to replicate the data lifecycle? ","June 15, 2021 7:26 AM","July 5, 2021 9:46 AM",Jaron Heard ✨,"What information is missing that would be needed to replicate the data lifecycle? ","What information is missing that would be needed to replicate the data lifecycle? ","A description of information that is missing or not available, and that would be necessary for replicating the data lifecycle.",Katy McKinney-Bock,Humans/Machines in the Loop > Reproducibility Requirements,,Short Description (List),,,,%F0%9F%97%82%20V1%20Foundational%20Schema%20(Source%20of%20Truth)%20913368daa73f4a2aab9b46b6587675cd/What%20are%20the%20necessary%20conditions%20for%20replicating%20%201ec70f68b7634b4aa7bdca1fcdcc8004.md,"1619049960000What are the necessary conditions for replicating data collection, preprocessing, analysis, and validation? ","This may be transformational, but I'm certain there are some ways to identify what is missing from foundational information → then take it into transformational discussion about why this is problematic. "
